"REGISTRATION","VALID_SINCE","VALID_UNTIL","AC_OPERATOR","AC_OWNER","AC_SUBTYPE","AC_LOGICAL_NO","AC_STATE","DRY_OPERATING_WGT","MAX_TAKEOFF_WGT","CARGO_CAPACITY","FUEL_CAPACITY","AVG_FUEL_CONSUMP","AC_INDEX","CREWSIZE_COCKPIT","CREWSIZE_CABIN","STD_VERSION","AP_RESTRICTION","AC_OWNER_NAME","AC_SUBTYPE_NAME","AC_CATEGORY","REMARK","FUEL_MEASURE_UNIT","AC_CALLSIGN","RADIO","NOISE","PHONE","SPECIAL_EQUIPMENT","ACARS","ALT_REG","RECORD_ID","LAST_UPDATE","LAST_UPDATE_USER_ID","STD_VERSION_ALT_1","STD_VERSION_ALT_2","STD_VERSION_ALT_3","STD_VERSION_ALT_4","ILS_EQUIPMENT","AUTOLAND","HOMEBASE"
"BLRN",01-MAR-17,31-DEC-17,"CX ","CX","35G",14,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289808,02-MAR-22,"netline","","","","","I","Y",""
"BLRO",01-APR-17,31-DEC-17,"CX ","CX","35G",15,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289809,02-MAR-22,"netline","","","","","I","Y",""
"BLRP",01-MAY-17,31-DEC-17,"CX ","CX","35G",16,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289810,02-MAR-22,"netline","","","","","I","Y",""
"BLRR",01-JUN-17,31-DEC-17,"CX ","CX","35G",18,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289812,02-MAR-22,"netline","","","","","I","Y",""
"BLRS",01-AUG-17,31-DEC-17,"CX ","CX","35G",19,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289813,02-MAR-22,"netline","","","","","I","Y",""
"BLRT",01-SEP-17,31-DEC-17,"CX ","CX","35G",20,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289814,02-MAR-22,"netline","","","","","I","Y",""
"BLRU",01-OCT-17,31-DEC-17,"CX ","CX","35G",21,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289815,02-MAR-22,"netline","","","","","I","Y",""
"BKQF",26-SEP-18,26-JUL-21,"CX ","CX","77K",10,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368                                                              ","kg ","","",,"","","S","",391136,02-MAR-22,"netline","","","","","I","Y",""
"BLRX",01-NOV-17,31-DEC-17,"CX ","CX","35G",24,"R",0,268000,0,0,0,10,0,0,"STN","N","CX                            ","35G                           ","J","38J/28W/214Y = 280                                                              ","kg ","","",,"","","S","",289817,02-MAR-22,"netline","","","","","I","Y",""
"BKQD",15-OCT-18,27-FEB-24,"CX ","CX","77K",11,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368 (ASP LONG TERM PARKING FROM 17NOV20)                         ","kg ","","",,"","","S","",391137,27-FEB-24,"iocstn","","","","","I","Y",""
"BKPR",10-SEP-18,31-DEC-35,"CX ","CX","77A",2,"R",0,0,0,0,0,95,0,0,"STN","N","CX                            ","77A                           ","J","6F/53J/34W/201Y = 294 (ASP LONG TERM PARKING FROM 13OCT20)                      ","kg ","","",,"","","S","",391150,02-MAR-22,"netline","","","","","I","Y",""
"BKQE",09-NOV-18,21-MAR-25,"CX ","CX","77K",12,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368                                                              ","kg ","","",,"","","S","",391148,21-MAR-25,"iocltm","","","","","I","Y",""
"BKPQ",26-JUL-18,31-DEC-35,"CX ","CX","77A",1,"R",0,0,0,0,0,95,0,0,"STN","N","CX                            ","77A                           ","J","6F/53J/34W/201Y = 294 (ASP LONG TERM PARKING FROM 19OCT20)                      ","kg ","","",,"","","S","",391149,02-MAR-22,"netline","","","","","I","Y",""
"BKPL",15-OCT-18,10-NOV-21,"CX ","CX","77A",3,"R",0,0,0,0,0,95,0,0,"STN","N","CX                            ","77A                           ","J","6F/53J/34W/201Y = 294                                                           ","kg ","","",,"","","S","",391151,02-MAR-22,"netline","","","","","I","Y",""
"BKPN",03-NOV-18,22-AUG-23,"CX ","CX","77A",4,"R",0,0,0,0,0,95,0,0,"STN","N","CX                            ","77A                           ","J","6F/53J/34W/201Y = 294                                                           ","kg ","","",,"","","S","",391152,22-AUG-23,"iocstn","","","","","I","Y",""
"BLXC",17-JUL-18,31-DEC-18,"CX ","CX","35J",3,"R",0,268000,0,0,0,15,0,0,"STN","N","CX                            ","35J                           ","J","46J/32W/256Y = 334                                                              ","kg ","","",,"","","S","",402636,02-MAR-22,"netline","","","","","I","Y",""
"BHNS",17-JUN-18,31-DEC-18,"CX ","CX","77P",2,"R",0,0,0,0,0,125,0,0,"STN","N","CX                            ","77P                           ","J","42J/396Y = 438 (ASP LONG TERM PARKING FROM 17SEP20)                             ","kg ","","",,"","","S","",403338,02-MAR-22,"netline","","","","","I","Y",""
"BHKX",24-JUN-18,31-AUG-18,"CX ","CX","7CF",1,"R",1,1,0,0,0,190,0,0,"STN","N","CX                            ","7CF                           ","J","-                                                                               ","kg ","","",,"","","S","",404453,02-MAR-22,"netline","","","","","I","Y",""
"BLXD",01-SEP-18,31-DEC-18,"CX ","CX","35J",4,"R",0,268000,0,0,0,15,0,0,"STN","N","CX                            ","35J                           ","J","46J/32W/256Y = 334                                                              ","kg ","","",,"","","S","",416523,02-MAR-22,"netline","","","","","I","Y",""
"N850",01-JUN-17,31-DEC-35,"5Y ","5Y","5Y8",5,"R",0,0,0,0,0,240,0,0,"STN","N","5Y                            ","5Y8                           ","J","-                                                                               ","kg ","","",,"","","","",425376,02-MAR-22,"netline","","","","","I","Y",""
